SNO	FileName	Index	KeyHash	Key	Translation	
1408450	Achievement_Beta_Level_25	1	3707583	Desc	Reach Level 20 during Open Beta or Early Access.
2077561	Achievement_CCC_Achievement_AlphaWing_Completed_Tracking	0	4062401	Name	Alpha Wing Completion Tracking
2077561	Achievement_CCC_Achievement_AlphaWing_Completed_Tracking	1	3707583	Desc	Tracks if player has completed Alpha Wing, used for Community Challenge
2077563	Achievement_CCC_Achievement_BetaWing_Completed_Tracking	0	4062401	Name	Beta Wing Completion Tracking
2077563	Achievement_CCC_Achievement_BetaWing_Completed_Tracking	1	3707583	Desc	Tracks if player has completed Beta Wing, used for Community Challenge
2081331	Achievement_CCC_Achievement_FlowQuest_Completed_Tracking	0	4062401	Name	CCC Flow Completion Tracking
2081331	Achievement_CCC_Achievement_FlowQuest_Completed_Tracking	1	3707583	Desc	Tracks if player has completed CCC flow quest
2096601	Achievement_CCC_Achievement_Hidden_GreaterCacheTitle	0	4062401	Name	Beheader's Cache Title
2096601	Achievement_CCC_Achievement_Hidden_GreaterCacheTitle	1	3707583	Desc	Gives Celebrated title
2096602	Achievement_CCC_Achievement_Hidden_LesserCacheTitle	0	4062401	Name	Celebrant's Cache Title
2096602	Achievement_CCC_Achievement_Hidden_LesserCacheTitle	1	3707583	Desc	Gives Patron title
2077565	Achievement_CCC_Achievement_OmegaWing_Completed_Tracking	0	4062401	Name	Omega Wing Completion Tracking
2077565	Achievement_CCC_Achievement_OmegaWing_Completed_Tracking	1	3707583	Desc	Tracks if player has completed Omega Wing, used for Community Challenge
2087913	Achievement_CCC_Achievement_UnlockQuest_Completed_Tracking	0	4062401	Name	CCC Unlock/Lesser Cache Completion Tracking
2087913	Achievement_CCC_Achievement_UnlockQuest_Completed_Tracking	1	3707583	Desc	Tracks if player has completed CCC Unlock quest
2464370	Achievement_CN_ServerSlam_DefeatAshava	0	4062401	Name	Early Victory
2464370	Achievement_CN_ServerSlam_DefeatAshava	1	3707583	Desc	Participate in the death of any World Boss at level 20 during the Server Slam.
2464375	Achievement_CN_ServerSlam_DefeatAshava_PostLaunch	0	4062401	Name	Early Victory
2464375	Achievement_CN_ServerSlam_DefeatAshava_PostLaunch	1	3707583	Desc	Participate in the death of any World Boss at level 20 during the Server Slam.
2464366	Achievement_CN_ServerSlam_Level20_1	0	4062401	Name	First Adventure
2464366	Achievement_CN_ServerSlam_Level20_1	1	3707583	Desc	Reach Level 20 during the Server Slam.
2464376	Achievement_CN_ServerSlam_Level20_1_PostLaunch	0	4062401	Name	First Adventure
2464376	Achievement_CN_ServerSlam_Level20_1_PostLaunch	1	3707583	Desc	Reach Level 20 during the Server Slam.
2464368	Achievement_CN_ServerSlam_Level20_2	0	4062401	Name	Early Experience
2464368	Achievement_CN_ServerSlam_Level20_2	1	3707583	Desc	Reach Level 20 during the Server Slam.
2464378	Achievement_CN_ServerSlam_Level20_2_PostLaunch	0	4062401	Name	Early Experience
2464378	Achievement_CN_ServerSlam_Level20_2_PostLaunch	1	3707583	Desc	Reach Level 20 during the Server Slam.
1679107	Achievement_ChallengeRift_ConquerorDivision	0	4062401	Name	Worthy in Their Eyes
1679107	Achievement_ChallengeRift_ConquerorDivision	1	3707583	Desc	Earn Seal of the Worthy in the Trials.
1679119	Achievement_ChallengeRift_PartyLeaderboard20	0	4062401	Name	Farther Together
1679119	Achievement_ChallengeRift_PartyLeaderboard20	1	3707583	Desc	Appear in the first 100 places in the party leaderboard.
1679117	Achievement_ChallengeRift_SoloLeaderboard20	0	4062401	Name	In Sight of the Hall
1679117	Achievement_ChallengeRift_SoloLeaderboard20	1	3707583	Desc	Appear in the first 100 places in the solo leaderboard.
1425589	Achievement_Challenge_Feat_2019BlizzconAtendee	0	4062401	Name	By Three They Come
1425589	Achievement_Challenge_Feat_2019BlizzconAtendee	1	3707583	Desc	Awarded to those who attended Blizzcon 2019.
1702556	Achievement_Challenge_Feat_CoD_Butcher_Hook_01	0	4062401	Name	Haunted by Duty
1702556	Achievement_Challenge_Feat_CoD_Butcher_Hook_01	1	3707583	Desc	Participated in the Haunting event in Call of Duty.
1483350	Achievement_Challenge_Feat_Earned_Beta_Ashava	0	4062401	Name	Earliest Victory
1483350	Achievement_Challenge_Feat_Earned_Beta_Ashava	1	3707583	Desc	Killed the Ashava during Open Beta or Early Access at level 20.
1440209	Achievement_Challenge_Feat_Earned_Beta_Kyovashad	0	4062401	Name	One of the First
1440209	Achievement_Challenge_Feat_Earned_Beta_Kyovashad	1	3707583	Desc	Entered Kyovashad during Open Beta or Early Access
1440359	Achievement_Challenge_Feat_Earned_Beta_Level_20	0	4062401	Name	Earliest Experience
1440359	Achievement_Challenge_Feat_Earned_Beta_Level_20	1	3707583	Desc	Achieved level 20 during Open Beta or Early Access
1429627	Achievement_Challenge_Feat_Enemies_KillFinalLilith	0	4062401	Name	Final Slayer of the First Mother
1429627	Achievement_Challenge_Feat_Enemies_KillFinalLilith	1	3707583	Desc	Kill the most challenging Echo of Lilith solo.
1525053	Achievement_Challenge_Feat_Hells_Ink_Tattoo_01	0	4062401	Name	Mother's Inked
1525053	Achievement_Challenge_Feat_Hells_Ink_Tattoo_01	1	3707583	Desc	Received a tattoo during a Hell's Ink event.
1427950	Achievement_Challenge_Feat_Nightmare_Tier10	0	4062401	Name	Nightmare Tourist
1427950	Achievement_Challenge_Feat_Nightmare_Tier10	1	3707583	Desc	Complete a Tier 10 or higher Nightmare Dungeon.
1429597	Achievement_Challenge_Feat_Nightmare_Tier100	0	4062401	Name	Nightmare Grandmaster
1429597	Achievement_Challenge_Feat_Nightmare_Tier100	1	3707583	Desc	Complete a Nightmare Dungeon on Torment IV.
1427965	Achievement_Challenge_Feat_Nightmare_Tier15	0	4062401	Name	Nightmare Traveler
1427965	Achievement_Challenge_Feat_Nightmare_Tier15	1	3707583	Desc	Complete a Tier 15 or higher Nightmare Dungeon.
1429577	Achievement_Challenge_Feat_Nightmare_Tier20	0	4062401	Name	Nightmare Apprentice
1429577	Achievement_Challenge_Feat_Nightmare_Tier20	1	3707583	Desc	Complete a Nightmare Dungeon on Torment II or higher.
1429585	Achievement_Challenge_Feat_Nightmare_Tier30	0	4062401	Name	Nightmare Voyager
1429585	Achievement_Challenge_Feat_Nightmare_Tier30	1	3707583	Desc	Complete a Tier 30 or higher Nightmare Dungeon.
1429590	Achievement_Challenge_Feat_Nightmare_Tier40	0	4062401	Name	Nightmare Adventurer
1429590	Achievement_Challenge_Feat_Nightmare_Tier40	1	3707583	Desc	Complete a Tier 40 or higher Nightmare Dungeon.
1427904	Achievement_Challenge_Feat_Nightmare_Tier5	0	4062401	Name	Nightmare Initiate
1427904	Achievement_Challenge_Feat_Nightmare_Tier5	1	3707583	Desc	Complete a Nightmare Dungeon on Torment I or higher.
1429592	Achievement_Challenge_Feat_Nightmare_Tier50	0	4062401	Name	Nightmare Conqueror
1429592	Achievement_Challenge_Feat_Nightmare_Tier50	1	3707583	Desc	Complete a Nightmare Dungeon on Torment III or higher.
1429595	Achievement_Challenge_Feat_Nightmare_Tier75	0	4062401	Name	Nightmare Master
1429595	Achievement_Challenge_Feat_Nightmare_Tier75	1	3707583	Desc	Complete a Tier 75 or higher Nightmare Dungeon.
2583856	Achievement_Challenge_Feat_ThePit_Choron	0	4062401	Name	Apotheosis
2583856	Achievement_Challenge_Feat_ThePit_Choron	1	3707583	Desc	Free Choron from the Pit
1947193	Achievement_Challenge_Feat_ThePit_Tier100	0	4062401	Name	The Final Precipice
1947193	Achievement_Challenge_Feat_ThePit_Tier100	1	3707583	Desc	Complete a Tier 100 run of The Pit
1947195	Achievement_Challenge_Feat_ThePit_Tier150	0	4062401	Name	Bounding the Insidious Cavalcade of Madness
1947195	Achievement_Challenge_Feat_ThePit_Tier150	1	3707583	Desc	Complete a Tier 150 or higher run of The Pit
1947152	Achievement_Challenge_Feat_ThePit_Tier20	0	4062401	Name	Delve the Depths
1947152	Achievement_Challenge_Feat_ThePit_Tier20	1	3707583	Desc	Complete a Tier 20 or higher run of The Pit.
1947197	Achievement_Challenge_Feat_ThePit_Tier200	0	4062401	Name	The Denouement of a Perilous Odyssey
1947197	Achievement_Challenge_Feat_ThePit_Tier200	1	3707583	Desc	Complete a Tier 200 or higher run of The Pit
1947178	Achievement_Challenge_Feat_ThePit_Tier40	0	4062401	Name	Staring into the Abyss
1947178	Achievement_Challenge_Feat_ThePit_Tier40	1	3707583	Desc	Complete a Tier 40 or higher run of The Pit.
1947180	Achievement_Challenge_Feat_ThePit_Tier60	0	4062401	Name	Hounding the Denizens of Darkness
1947180	Achievement_Challenge_Feat_ThePit_Tier60	1	3707583	Desc	Complete a Tier 60 or higher run of The Pit
1246558	Achievement_Challenge_III_EchoOfLilith	0	4062401	Name	Silence is Hellish
1246558	Achievement_Challenge_III_EchoOfLilith	1	3707583	Desc	Defeat the Echo of Lilith.
1104170	Achievement_Challenge_III_EquipAllLegendaries	0	4062401	Name	Legendary Hero
1104170	Achievement_Challenge_III_EquipAllLegendaries	1	3707583	Desc	Equip a Legendary or higher quality item in every slot.
1216957	Achievement_Challenge_III_KillQuickly45	0	4062401	Name	Swift Destroyer
1216957	Achievement_Challenge_III_KillQuickly45	1	3707583	Desc	Kill 45 monsters within 8 seconds.
1217930	Achievement_Challenge_III_QuickDungeon	0	4062401	Name	Swift Delver
1217930	Achievement_Challenge_III_QuickDungeon	1	3707583	Desc	Kill a normal or Nightmare dungeon boss within 30 seconds of starting the fight.
1217930	Achievement_Challenge_III_QuickDungeon	2	977867471	DescShort	Kill a dungeon boss within 30 seconds.
1216297	Achievement_Challenge_II_AllRareGear	0	4062401	Name	Geared for Battle
1216297	Achievement_Challenge_II_AllRareGear	1	3707583	Desc	Equip a Rare or higher quality item in every slot.
1216245	Achievement_Challenge_II_CollectObols	0	4062401	Name	Deeper Pockets
1216245	Achievement_Challenge_II_CollectObols	1	3707583	Desc	Collect 100,000 Obols.
1217608	Achievement_Challenge_II_DestroyTimedObjects	0	4062401	Name	Juggernaut
1217608	Achievement_Challenge_II_DestroyTimedObjects	1	3707583	Desc	Destroy 50 objects within 60 seconds.
1104171	Achievement_Challenge_II_EveryClassMaxLevel	0	4062401	Name	The Heroic Roster
1104171	Achievement_Challenge_II_EveryClassMaxLevel	1	3707583	Desc	Reach Level 70 with every original Diablo IV class.
1104171	Achievement_Challenge_II_EveryClassMaxLevel	2	999781567	Crit_174011	Barbarian
1104171	Achievement_Challenge_II_EveryClassMaxLevel	3	999781568	Crit_174012	Druid
1104171	Achievement_Challenge_II_EveryClassMaxLevel	4	999781569	Crit_174013	Necromancer
1104171	Achievement_Challenge_II_EveryClassMaxLevel	5	999781570	Crit_174014	Rogue
1104171	Achievement_Challenge_II_EveryClassMaxLevel	6	999781571	Crit_174015	Sorcerer
1217055	Achievement_Challenge_II_FullyUpgradeGlyph	0	4062401	Name	Glyph Master
1217055	Achievement_Challenge_II_FullyUpgradeGlyph	1	3707583	Desc	Fully upgrade a paragon glyph.
1216905	Achievement_Challenge_II_KillQuickly30	0	4062401	Name	Swift Slayer
1216905	Achievement_Challenge_II_KillQuickly30	1	3707583	Desc	Kill 30 monsters within 5 seconds.
1104172	Achievement_Challenge_II_KillTimedElites	0	4062401	Name	Champions No More
1104172	Achievement_Challenge_II_KillTimedElites	1	3707583	Desc	Kill 3 elite monsters within 30 seconds.
1104173	Achievement_Challenge_II_KillWildlife	0	4062401	Name	Endangered Species
1104173	Achievement_Challenge_II_KillWildlife	1	3707583	Desc	Kill one of each wildlife listed below.
1104173	Achievement_Challenge_II_KillWildlife	2	999781575	Crit_174019	Crab
1104173	Achievement_Challenge_II_KillWildlife	3	999781601	Crit_174022	Donkey
1104173	Achievement_Challenge_II_KillWildlife	4	999781602	Crit_174023	Egret
1104173	Achievement_Challenge_II_KillWildlife	5	999781603	Crit_174024	Fox
1104173	Achievement_Challenge_II_KillWildlife	6	1034212518	Crit_235326	Brown Goat
1104173	Achievement_Challenge_II_KillWildlife	7	999781605	Crit_174026	Black Goat
1104173	Achievement_Challenge_II_KillWildlife	8	1034212519	Crit_235327	White Goat
1104173	Achievement_Challenge_II_KillWildlife	9	999781607	Crit_174028	Meerkat
1104173	Achievement_Challenge_II_KillWildlife	10	999781608	Crit_174029	Large Pig
1104173	Achievement_Challenge_II_KillWildlife	11	999781632	Crit_174030	Small Pig
1104173	Achievement_Challenge_II_KillWildlife	12	999781634	Crit_174032	Raven
1104173	Achievement_Challenge_II_KillWildlife	13	999781635	Crit_174033	Seagull
1104173	Achievement_Challenge_II_KillWildlife	14	999781639	Crit_174037	Fawn
1104173	Achievement_Challenge_II_KillWildlife	15	999781599	Crit_174020	Grey Doe
1104173	Achievement_Challenge_II_KillWildlife	16	999781640	Crit_174038	Brown Doe
1104173	Achievement_Challenge_II_KillWildlife	17	999781641	Crit_174039	Stag
1104173	Achievement_Challenge_II_KillWildlife	18	999781574	Crit_174018	Scosglen Cow
1104173	Achievement_Challenge_II_KillWildlife	19	999781665	Crit_174040	Dry Steppes Cow
1104173	Achievement_Challenge_II_KillWildlife	20	999781573	Crit_174017	Brown Chicken
1104173	Achievement_Challenge_II_KillWildlife	21	999781667	Crit_174042	Brown Rooster
1104173	Achievement_Challenge_II_KillWildlife	22	999781668	Crit_174043	Rooster
1104173	Achievement_Challenge_II_KillWildlife	23	999781669	Crit_174044	White Chicken
1104173	Achievement_Challenge_II_KillWildlife	24	1034212546	Crit_235331	Rabbit
1104173	Achievement_Challenge_II_KillWildlife	25	1034212549	Crit_235334	Snake
1104173	Achievement_Challenge_II_KillWildlife	26	1034214790	Crit_235551	Sheep
1304746	Achievement_Challenge_II_OverpowerVulnerable	0	4062401	Name	Advantageous Strikes
1304746	Achievement_Challenge_II_OverpowerVulnerable	1	3707583	Desc	Slay 1,000 enemies with Critical or Overpowering Strikes.
1104174	Achievement_Challenge_II_PickupGold	0	4062401	Name	Deep Pockets
1104174	Achievement_Challenge_II_PickupGold	1	3707583	Desc	Pick up 1,500 gold within 30 seconds.
1217081	Achievement_Challenge_II_Unlock100ParagonNodes	0	4062401	Name	Seasoned Paragon
1217081	Achievement_Challenge_II_Unlock100ParagonNodes	1	3707583	Desc	Unlock 100 paragon nodes.
1216255	Achievement_Challenge_I_AllMagicGear	0	4062401	Name	Fully Equipped
1216255	Achievement_Challenge_I_AllMagicGear	1	3707583	Desc	Equip a Magic or higher quality item in every slot.
1216848	Achievement_Challenge_I_KillQuickly15	0	4062401	Name	Swift Hunter
1216848	Achievement_Challenge_I_KillQuickly15	1	3707583	Desc	Kill 15 monsters within 3 seconds.
1104184	Achievement_Class_Barbarian_Challenge_III_SpendFury	0	4062401	Name	Fury Frenzy
1104184	Achievement_Class_Barbarian_Challenge_III_SpendFury	1	3707583	Desc	Spend 130 Fury in 5 seconds.
1104179	Achievement_Class_Barbarian_Challenge_III_UseDeathblow	0	4062401	Name	Victory March
1104179	Achievement_Class_Barbarian_Challenge_III_UseDeathblow	1	3707583	Desc	Use Death Blow 20 times within 10 seconds.
1104175	Achievement_Class_Barbarian_General_I_Arsenal1	0	4062401	Name	Weapon Master
1104175	Achievement_Class_Barbarian_General_I_Arsenal1	1	3707583	Desc	Kill an enemy with a 2 Hand Bludgeoning, a 2 Hand Slashing, and a 1 Hand Weapon in 10 seconds. 
1104175	Achievement_Class_Barbarian_General_I_Arsenal1	2	977867471	DescShort	Kill enemies quickly with multiple weapon types.
1216266	Achievement_Class_Barbarian_General_I_Arsenal2	0	4062401	Name	Overkill
1216266	Achievement_Class_Barbarian_General_I_Arsenal2	1	3707583	Desc	Kill an Elite enemy with a 2 Hand Bludgeoning, a 2 Hand Slashing, and a 1 Hand Weapon in 10 seconds. 
1216266	Achievement_Class_Barbarian_General_I_Arsenal2	2	977867471	DescShort	Kill Elites quickly with multiple weapon types.
1104182	Achievement_Class_Barbarian_General_I_Berserk	0	4062401	Name	Rampage
1104182	Achievement_Class_Barbarian_General_I_Berserk	1	3707583	Desc	Go Berserk 200 times.
1216262	Achievement_Class_Barbarian_General_I_Bleed	0	4062401	Name	Deep Wounds
1216262	Achievement_Class_Barbarian_General_I_Bleed	1	3707583	Desc	Kill 30 Vulnerable enemies in 15 seconds.
1216264	Achievement_Class_Barbarian_General_I_Overpower	0	4062401	Name	Overthrown
1216264	Achievement_Class_Barbarian_General_I_Overpower	1	3707583	Desc	Kill 150 Stunned enemies with Overpowered attacks. 
1104176	Achievement_Class_Barbarian_General_I_Shouts	0	4062401	Name	Battle Cry
1104176	Achievement_Class_Barbarian_General_I_Shouts	1	3707583	Desc	Use your Shouts 500 times.
1216259	Achievement_Class_Barbarian_Progression_II_Paragon	0	4062401	Name	Champion of Mount Arreat 
1216259	Achievement_Class_Barbarian_Progression_II_Paragon	1	3707583	Desc	Unlock 2 Legendary Paragon Nodes as a Barbarian.
1104178	Achievement_Class_Barbarian_Progression_I_Level50	0	4062401	Name	Guardian of Mount Arreat
1104178	Achievement_Class_Barbarian_Progression_I_Level50	1	3707583	Desc	Reach Level 70 as a Barbarian.
1216059	Achievement_Class_Druid_Challenge_III_Shapeshifting	0	4062401	Name	Fighting Form
1216059	Achievement_Class_Druid_Challenge_III_Shapeshifting	1	3707583	Desc	Transform 150 times without going back to Human form.
1216057	Achievement_Class_Druid_Challenge_III_Tornadoes	0	4062401	Name	Twisting Corridors
1216057	Achievement_Class_Druid_Challenge_III_Tornadoes	1	3707583	Desc	Kill 500 enemies with Tornadoes in a dungeon as a Druid.
1216052	Achievement_Class_Druid_General_II_Passive1	0	4062401	Name	Early Offerings
1216052	Achievement_Class_Druid_General_II_Passive1	1	3707583	Desc	Pick up 100 Druidic Spirit Offerings.
1216054	Achievement_Class_Druid_General_II_Passive2	0	4062401	Name	Satisfied Spirits
1216054	Achievement_Class_Druid_General_II_Passive2	1	3707583	Desc	Unlock every Boon from every spirit and unlock Spirit Bonding.
1216044	Achievement_Class_Druid_General_I_Earth	0	4062401	Name	Earthen Eruption
1216044	Achievement_Class_Druid_General_I_Earth	1	3707583	Desc	Kill 20 enemies with Critical Strikes in 10 seconds.
1216046	Achievement_Class_Druid_General_I_Storm	0	4062401	Name	Galvanic Strikes
1216046	Achievement_Class_Druid_General_I_Storm	1	3707583	Desc	Kill 200 Vulnerable enemies with Lightning Storm. 
1216048	Achievement_Class_Druid_General_I_Werebear	0	4062401	Name	Bear Knuckle Brawl
1216048	Achievement_Class_Druid_General_I_Werebear	1	3707583	Desc	Kill 250 enemies while Resolve is active in Werebear form. 
1216050	Achievement_Class_Druid_General_I_Werewolf	0	4062401	Name	Animalistic Fury
1216050	Achievement_Class_Druid_General_I_Werewolf	1	3707583	Desc	Kill 200 enemies infected with Rabies while in Werewolf form.
1104185	Achievement_Class_Druid_I_Level50	0	4062401	Name	Mystic of Scosglen
1104185	Achievement_Class_Druid_I_Level50	1	3707583	Desc	Reach Level 70 as a Druid.
1216042	Achievement_Class_Druid_Progression_II_Paragon	0	4062401	Name	Shaman of Scosglen
1216042	Achievement_Class_Druid_Progression_II_Paragon	1	3707583	Desc	Unlock 2 Legendary Paragon Nodes as a Druid.
1216019	Achievement_Class_Necromancer_Challenge_III_Challenge1	0	4062401	Name	Ivory Cyclone
1216019	Achievement_Class_Necromancer_Challenge_III_Challenge1	1	3707583	Desc	Maintain Bone Storm for 20 seconds.
1216021	Achievement_Class_Necromancer_Challenge_III_Challenge2	0	4062401	Name	Quick Consumer
1216021	Achievement_Class_Necromancer_Challenge_III_Challenge2	1	3707583	Desc	Consume 30 Corpses in 30 seconds. 
1216017	Achievement_Class_Necromancer_General_II_ArmyDungeon	0	4062401	Name	Ossein Assault
1216017	Achievement_Class_Necromancer_General_II_ArmyDungeon	1	3707583	Desc	Get 5 kills with each Minion type in a single Dungeon (Warrior, Mage, Golem).
1216013	Achievement_Class_Necromancer_General_II_ArmyKills	0	4062401	Name	Reanimation
1216013	Achievement_Class_Necromancer_General_II_ArmyKills	1	3707583	Desc	Get 150 kills with each Minion type (Warrior, Mage, Golem).
1216013	Achievement_Class_Necromancer_General_II_ArmyKills	2	1034253861	Crit_236810	Warrior Kills
1216013	Achievement_Class_Necromancer_General_II_ArmyKills	3	1034253837	Crit_236809	Mage Kills
1216013	Achievement_Class_Necromancer_General_II_ArmyKills	4	1034209380	Crit_235063	Golem Kills
1215984	Achievement_Class_Necromancer_General_I_Blood	0	4062401	Name	Sanguine Sated
1215984	Achievement_Class_Necromancer_General_I_Blood	1	3707583	Desc	Pick up 10 Blood Orbs in 20 seconds. 
1215988	Achievement_Class_Necromancer_General_I_Bone	0	4062401	Name	Cut to the Bone
1215988	Achievement_Class_Necromancer_General_I_Bone	1	3707583	Desc	Kill 150 Vulnerable enemies with Critical Strikes.
1215990	Achievement_Class_Necromancer_General_I_Corpse	0	4062401	Name	Composter
1215990	Achievement_Class_Necromancer_General_I_Corpse	1	3707583	Desc	Kill 400 enemies with Corpse Explosion.
1215992	Achievement_Class_Necromancer_General_I_Shadow	0	4062401	Name	Dark Potential
1215992	Achievement_Class_Necromancer_General_I_Shadow	1	3707583	Desc	Kill 20 enemies with Shadow damage in 30 seconds as a Necromancer. 
1104189	Achievement_Class_Necromancer_I_Level50	0	4062401	Name	Follower of Rathma
1104189	Achievement_Class_Necromancer_I_Level50	1	3707583	Desc	Reach Level 70 as a Necromancer.
1215980	Achievement_Class_Necromancer_Progression_II_Paragon	0	4062401	Name	Priest of Rathma
1215980	Achievement_Class_Necromancer_Progression_II_Paragon	1	3707583	Desc	Unlock 2 Legendary Paragon Nodes as a Necromancer. 
1216305	Achievement_Class_Rogue_Challenge_III_Dodge	0	4062401	Name	Master Tactician
1216305	Achievement_Class_Rogue_Challenge_III_Dodge	1	3707583	Desc	Kill 25 enemies in melee range and 25 enemies outside of melee range in a dungeon as a Rogue.
1216309	Achievement_Class_Rogue_Challenge_III_Dungeon	0	4062401	Name	Evasive Maneuvers
1216309	Achievement_Class_Rogue_Challenge_III_Dungeon	1	3707583	Desc	Complete run of The Pit without dying. 
1104191	Achievement_Class_Rogue_General_II_Imbues	0	4062401	Name	Tricks of the Trade
1104191	Achievement_Class_Rogue_General_II_Imbues	1	3707583	Desc	Kill 10 enemies with each Imbue within 30 seconds.
1104191	Achievement_Class_Rogue_General_II_Imbues	2	999755702	Crit_173998	Cold
1104191	Achievement_Class_Rogue_General_II_Imbues	3	1034253868	Crit_236817	Poison
1104191	Achievement_Class_Rogue_General_II_Imbues	4	1034253869	Crit_236818	Shadow
1216303	Achievement_Class_Rogue_General_II_Stealth	0	4062401	Name	The Unseen Assassin
1216303	Achievement_Class_Rogue_General_II_Stealth	1	3707583	Desc	Kill 100 enemies with attacks from Stealth.
1216295	Achievement_Class_Rogue_General_I_Combo	0	4062401	Name	Marksman
1216295	Achievement_Class_Rogue_General_I_Combo	1	3707583	Desc	Kill 300 enemies with Critical Strikes from your ranged attacks. 
1104190	Achievement_Class_Rogue_General_I_InnerSight	0	4062401	Name	Fatal Flaw
1104190	Achievement_Class_Rogue_General_I_InnerSight	1	3707583	Desc	Kill 100 enemies marked with Inner Sight.
1216299	Achievement_Class_Rogue_General_I_Preparation	0	4062401	Name	Tricked Out
1216299	Achievement_Class_Rogue_General_I_Preparation	1	3707583	Desc	Use your Ultimate 3 times in 60 seconds as a Rogue. 
1216301	Achievement_Class_Rogue_General_I_Traps	0	4062401	Name	Ensnared
1216301	Achievement_Class_Rogue_General_I_Traps	1	3707583	Desc	Kill 300 enemies with your Traps.
1216274	Achievement_Class_Rogue_Progression_II_Paragon	0	4062401	Name	Envoy of Thieves
1216274	Achievement_Class_Rogue_Progression_II_Paragon	1	3707583	Desc	Unlock 2 Legendary Paragon Nodes as a Rogue.
1104192	Achievement_Class_Rogue_Progression_I_Level50	0	4062401	Name	Agent of Thieves
1104192	Achievement_Class_Rogue_Progression_I_Level50	1	3707583	Desc	Reach Level 70 as a Rogue.
1216332	Achievement_Class_Sorcerer_Challenge_III_Burning	0	4062401	Name	Elemental Artist
1216332	Achievement_Class_Sorcerer_Challenge_III_Burning	1	3707583	Desc	Kill 20 enemies with each Element in 30 seconds.
1216329	Achievement_Class_Sorcerer_Challenge_III_FrozenKills	0	4062401	Name	Frosted Destruction
1216329	Achievement_Class_Sorcerer_Challenge_III_FrozenKills	1	3707583	Desc	Kill 250 Frozen enemies with Fire damage and 250 Frozen enemies with Lightning damage.
1216329	Achievement_Class_Sorcerer_Challenge_III_FrozenKills	2	977867471	DescShort	Kill Frozen enemies with Fire and Lightning damage.
1216329	Achievement_Class_Sorcerer_Challenge_III_FrozenKills	3	1034210272	Crit_235104	Fire Damage Kills
1216329	Achievement_Class_Sorcerer_Challenge_III_FrozenKills	4	1034213837	Crit_235495	Lightning Damage Kills
1104195	Achievement_Class_Sorcerer_General_II_Enchant1	0	4062401	Name	Master of Magic
1104195	Achievement_Class_Sorcerer_General_II_Enchant1	1	3707583	Desc	Equip a Skill in every Enchantment Slot.
1104198	Achievement_Class_Sorcerer_General_II_Enchant2	0	4062401	Name	Enchanting
